AnnualRevenue,Assetphone__c,City,Company,Country,Description,Email,EmailBouncedDate,EmailBouncedReason,FirstName,GeocodeAccuracy,Guid,IndividualId,Industry,IsConverted,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,NumberOfEmployees,OwnerId,Phone,PostalCode,Rating,Salutation,State,Status,Street,Test_Object__c,Test_checkbox__c,Test_currency__c,Test_dateFields__c,Test_datetimefields__c,Textfield__c,Title,Website
,,,not1,,,,,,,,31e65c65-86a9-4928-8b55-1dca4f539a6f,,,false,true,,hot1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,A1,,,,,,Lead,,656494f6-3008-46b0-85ba-b2dbbd910176,,,false,true,,Al5,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,ANy,,,,,,Nov,,af31e1b3-f3dc-42ca-8d1e-6f588425fab5,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,ANy,,,,,,Nov,,105e41aa-5575-4464-955b-74c5a347bb8b,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,ANy,,,,,,Nov,,bd67f5a8-608e-4da0-90b6-7678dd29839b,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,ANy,,,,,,Nov,,97f6c557-eb47-40cf-9909-b20c6ff74115,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,5,,,,,,Lead,,c0b21950-2c48-4f9f-9c98-8085749bd86b,,,false,true,,5,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,1901aedb-8ceb-4eb7-b2be-e576d8c153b9,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,728c32e8-21e8-4d20-9e1f-17c4e17a42ac,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,comp2,,,,,,Lead,,9d30e5b3-a13b-4065-80a4-1965f18a1d65,,,false,true,,3,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,54b7a986-b08d-45a0-8e8f-5742b551a338,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,e31c9bb9-d7a1-4931-aae5-80ad5ffe79fd,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,f7866aa5-2639-4849-8db5-6458da2e43e7,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,d0326a94-2947-47ac-9342-2fe2d8b35f72,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,test,,,,,,,,ca58ab85-2979-4d5f-8be7-771267bc112f,,,false,true,,test,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,1843bfb0-83e1-454b-8d5f-d8e78a9ae1b5,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,any1,,,,,,,,a503194a-50c4-41c2-b8d1-ee66472460fd,,,false,true,,any,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,4e830a0e-3cbd-4808-a2b1-89735e25f189,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,abc,,,,,,1,,6dc71998-942e-49f1-9d6d-9550c6b71de1,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,bbb,,,,,,b,,f8bd8221-166e-44a4-b0cd-d971bb4d848e,,,false,false,,bb,,,,,,,,,,,New,,,false,,,,,,
,,,one,,,,,,test,,df65c751-8449-4093-ab1e-2b50fdce3ab8,,,false,false,,one,,,,,,,,,,,New,,,false,,,,,,
,,,two,,,,,,test,,535d623b-2340-4368-8569-5b44fbb53b50,,,false,false,,two,,,,,,,,,,,New,,,false,,,,,,
,,,MyGreatCompany,,,,,,Jean,,ab7eb4b0-7644-468c-a6d7-714b27b18446,,,false,false,,Chung,,,,,,,,,,,New,,,false,,,,,,
,,,Lalaland,,,,,,,,e55bf6eb-89af-492e-9f52-5c5c4672150a,,,false,true,,Crcrcr,,,,,,,,,,,Qualified,,,false,,,,,,
,,,checkn1,,,,,,First,,63e2d554-fcf9-444e-9d94-0b6b9fab7828,,,false,false,,checkin,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,sss,,,,,,,,8efe4e1b-3cd7-4cbf-aae4-1b206aafe636,,,false,false,,dsada,,,,,,,,,,,Nurturing,,,false,,,,,,
